FID,SAMPLINGFEATURENO,SAMPLINGFEATURENAME,SAMPLINGFEATURETYPE,SAMPLENO,SAMPLENAME,SAMPLETYPE,PROPERTY,REMANENTMAGNETISATION,UNITOFMEASURE,RESULTQUALIFIER,MAGNETISATIONUNCERTAINTY,UNCERTAINTYUOM,UNCERTAINTYTYPE,ANGULARUNCERTAINTY,ANGULARUNCERTAINTYUOM,ANGULARUNCERTAINTYTYPE,RAWINCLINATION,RAWINCLINATIONUOM,RAWDECLINATION,RAWDECLINATIONUOM,INCLINATION,INCLINATIONUOM,DECLINATION,DECLINATIONUOM,DEMAGFIELD,DEMAGFIELDUOM,DEMAGTEMPERATURE,DEMAGTEMPERATUREUOM,DEMAGPRESSURE,DEMAGPRESSUREUOM,STRATIGRAPHICUNITNAME,PROVINCENAME,MATERIALCLASS,LITHOLOGYGROUP,LITHOLOGY,SAMPLE_LONGITUDE,SAMPLE_LATITUDE,SAMPLE_ELEVATION,BOREHOLECOLLARLONGITUDE,BOREHOLECOLLARLATITUDE,BOREHOLECOLLARELEVATION,BOREHOLEINTERVALBEGIN_M,BOREHOLEINTERVALEND_M,SAMPLEAZIMUTH,SAMPLEPLUNGE,SAMPLEHADE,SAMPLINGDATE,LOCATIONACCURACY_M,LOCATIONMETHOD,SAMPLEORIGINATOR,SAMPLINGLOCATIONREMARK,PROCESSTYPE,METHOD,INSTRUMENT,ANALYSISDATETIME,ANALYSISORIGINATOR,ANALYSISLOCATIONREMARK,NUMERICALCONFIDENCE,METADATAQUALITY,SUMMARYCONFIDENCE,SOURCETYPE,SOURCE,RESULTID,GEOM,PROJECT
remanent_magnetisation.146017,520364,WJD 1,borehole,2153033,1978553,core diamond,remanent magnetisation,10.722143,milliampere per metre,single measurement - whole sample,,,unknown,,,,24.92,degree,243.86,degree,,,,,300,millitesla,22,degree Celsius,1,atmosphere,Whyalla Sandstone,,,siliciclastic sedimentary rock,sedimentary rock,,,,136.966236,-31.065877,152,345.72,345.81,,,,,25,"published report, method unknown","Lewis, B.",,laboratory measurement,remanent magnetisation - high precision,2G cryogenic magnetometer - RSES Black Mountain,,"Roach, I.C.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,organisation,Geoscience Australia,,POINT (136.966236 -31.065877),
remanent_magnetisation.146003,520364,WJD 1,borehole,2153033,1978553,core diamond,remanent magnetisation,10.164875,milliampere per metre,single measurement - whole sample,,,unknown,,,,-18.04,degree,348.1,degree,,,,,0,millitesla,22,degree Celsius,1,atmosphere,Whyalla Sandstone,,,siliciclastic sedimentary rock,sedimentary rock,,,,136.966236,-31.065877,152,345.72,345.81,,,,,25,"published report, method unknown","Lewis, B.",,laboratory measurement,remanent magnetisation - high precision,2G cryogenic magnetometer - RSES Black Mountain,,"Roach, I.C.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,organisation,Geoscience Australia,,POINT (136.966236 -31.065877),
remanent_magnetisation.146029,520364,WJD 1,borehole,2153034,1978554,core diamond,remanent magnetisation,7.343494,milliampere per metre,single measurement - whole sample,,,unknown,,,,4.62,degree,277.32,degree,,,,,700,millitesla,22,degree Celsius,1,atmosphere,Whyalla Sandstone,,,siliciclastic sedimentary rock,sandstone,,,,136.966236,-31.065877,152,388.49,388.65,,,,,25,"published report, method unknown","Lewis, B.",,laboratory measurement,remanent magnetisation - high precision,2G cryogenic magnetometer - RSES Black Mountain,,"Roach, I.C.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,organisation,Geoscience Australia,,POINT (136.966236 -31.065877),
remanent_magnetisation.146128,520364,WJD 1,borehole,2153037,1978557,core diamond,remanent magnetisation,0.689542,milliampere per metre,single measurement - whole sample,,,unknown,,,,-27.15,degree,233.26,degree,,,,,100,millitesla,22,degree Celsius,1,atmosphere,Tapley Hill Formation,Mount Painter Block,,siliciclastic sedimentary rock,siltstone,,,,136.966236,-31.065877,152,535.31,535.49,,,,,25,"published report, method unknown","Lewis, B.",,laboratory measurement,remanent magnetisation - high precision,2G cryogenic magnetometer - RSES Black Mountain,,"Roach, I.C.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,organisation,Geoscience Australia,,POINT (136.966236 -31.065877),
remanent_magnetisation.146294,520364,WJD 1,borehole,2153043,1978563,core diamond,remanent magnetisation,51.057692,milliampere per metre,single measurement - whole sample,,,unknown,,,,22.82,degree,22.82,degree,,,,,150,millitesla,22,degree Celsius,1,atmosphere,Pandurra Formation,Cariewerloo Basin,,siliciclastic sedimentary rock,sedimentary rock,,,,136.966236,-31.065877,152,798.07,798.29,,,,,25,"published report, method unknown","Lewis, B.",,laboratory measurement,remanent magnetisation - high precision,2G cryogenic magnetometer - RSES Black Mountain,,"Roach, I.C.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,organisation,Geoscience Australia,,POINT (136.966236 -31.065877),
remanent_magnetisation.146025,520364,WJD 1,borehole,2153034,1978554,core diamond,remanent magnetisation,6.294796,milliampere per metre,single measurement - whole sample,,,unknown,,,,-43.9,degree,297.39,degree,,,,,200,millitesla,22,degree Celsius,1,atmosphere,Whyalla Sandstone,,,siliciclastic sedimentary rock,sandstone,,,,136.966236,-31.065877,152,388.49,388.65,,,,,25,"published report, method unknown","Lewis, B.",,laboratory measurement,remanent magnetisation - high precision,2G cryogenic magnetometer - RSES Black Mountain,,"Roach, I.C.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,organisation,Geoscience Australia,,POINT (136.966236 -31.065877),
remanent_magnetisation.146016,520364,WJD 1,borehole,2153033,1978553,core diamond,remanent magnetisation,12.150357,milliampere per metre,single measurement - whole sample,,,unknown,,,,24.39,degree,240.27,degree,,,,,150,millitesla,22,degree Celsius,1,atmosphere,Whyalla Sandstone,,,siliciclastic sedimentary rock,sedimentary rock,,,,136.966236,-31.065877,152,345.72,345.81,,,,,25,"published report, method unknown","Lewis, B.",,laboratory measurement,remanent magnetisation - high precision,2G cryogenic magnetometer - RSES Black Mountain,,"Roach, I.C.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,organisation,Geoscience Australia,,POINT (136.966236 -31.065877),
remanent_magnetisation.146301,520364,WJD 1,borehole,2153043,1978563,core diamond,remanent magnetisation,55.235849,milliampere per metre,single measurement - whole sample,,,unknown,,,,50.98,degree,125.56,degree,,,,,50,millitesla,22,degree Celsius,1,atmosphere,Pandurra Formation,Cariewerloo Basin,,siliciclastic sedimentary rock,sedimentary rock,,,,136.966236,-31.065877,152,798.07,798.29,,,,,25,"published report, method unknown","Lewis, B.",,laboratory measurement,remanent magnetisation - high precision,2G cryogenic magnetometer - RSES Black Mountain,,"Roach, I.C.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,organisation,Geoscience Australia,,POINT (136.966236 -31.065877),
remanent_magnetisation.145995,520364,WJD 1,borehole,2153033,1978553,core diamond,remanent magnetisation,2.009319,milliampere per metre,single measurement - whole sample,,,unknown,,,,9.78,degree,210.06,degree,,,,,50,millitesla,22,degree Celsius,1,atmosphere,Whyalla Sandstone,,,siliciclastic sedimentary rock,sedimentary rock,,,,136.966236,-31.065877,152,345.72,345.81,,,,,25,"published report, method unknown","Lewis, B.",,laboratory measurement,remanent magnetisation - high precision,2G cryogenic magnetometer - RSES Black Mountain,,"Roach, I.C.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,organisation,Geoscience Australia,,POINT (136.966236 -31.065877),
remanent_magnetisation.146027,520364,WJD 1,borehole,2153034,1978554,core diamond,remanent magnetisation,7.517472,milliampere per metre,single measurement - whole sample,,,unknown,,,,-33.41,degree,299.96,degree,,,,,400,millitesla,22,degree Celsius,1,atmosphere,Whyalla Sandstone,,,siliciclastic sedimentary rock,sandstone,,,,136.966236,-31.065877,152,388.49,388.65,,,,,25,"published report, method unknown","Lewis, B.",,laboratory measurement,remanent magnetisation - high precision,2G cryogenic magnetometer - RSES Black Mountain,,"Roach, I.C.",RSES Black Mountain,high confidence,moderate quality,moderate-high confidence,organisation,Geoscience Australia,,POINT (136.966236 -31.065877),
